dobih_number,name,height_m,height_ft,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,latitude,longitude,nearest_center,min_distance_km,nearest_center_lat,nearest_center_lon
806,Carn Eighe - Stob a' Choire Dhomhain,1146.5,3761.0,213131.0,826407.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.28992392006814,-5.102470684908374,Tomich,17.52444325789168,57.3052421,-4.8121467
808,Carn Eighe - Stob Coire Dhomhnuill,1139.1,3737.0,213797.0,826243.0,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.288724864614544,-5.091314240200553,Tomich,16.87177499324278,57.3052421,-4.8121467
809,Carn Eighe - Sron Garbh,1131.0,3711.0,214450.0,826387.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.2902822339572,-5.080604894444988,Tomich,16.21334620526412,57.3052421,-4.8121467
849,Carn Eighe - Stob Coire Lochan,916.9,3008.0,211927.0,827171.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.296282440471956,-5.1229967656172075,Tomich,18.69953477085024,57.3052421,-4.8121467
826,Beinn Fhionnlaidh,1004.8,3297.0,211560.0,828271.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.30599746918587,-5.129916058577172,Tomich,19.08628639864163,57.3052421,-4.8121467
810,Tom a' Choinich,1112.0,3648.0,216402.0,827331.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.29953877858912,-5.048967503819859,Tomich,14.239492665832923,57.3052421,-4.8121467
819,Tom a' Choinich - An Leth-chreag,1051.0,3448.0,215406.0,826971.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.29590803239101,-5.065203209666452,Tomich,15.236750853752762,57.3052421,-4.8121467
824,Tom a' Choinich - Tom a' Choinich Beag,1032.0,3386.0,215760.0,827291.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.29892138322532,-5.059576203601203,Tomich,14.879339970625884,57.3052421,-4.8121467
818,Toll Creagach,1054.0,3458.0,219401.0,828280.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.30924783094104,-4.9999626989535395,Tomich,11.289044071693926,57.3052421,-4.8121467
841,Toll Creagach West Top,951.0,3120.0,217753.0,827544.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.301990684686494,-5.026736709833677,Tomich,12.894644075381851,57.3052421,-4.8121467
